God_ID,God_Name,Alias,God_Description
GOD_065,Goddess Andal,Goddess Kothai,"Andal is a Tamil saint-poet who is revered as a goddess. She is often depicted as riding on Garudal, the eagle."
GOD_066,Goddess Bhavani,Goddess Ambika,"Bhavani is a name for the goddess Parvati, the consort of Lord Shiva. She is often depicted as riding on a lion."
GOD_067,Goddess Kamakshi,Goddess Kamakshi Amman,Kamakshi is a form of the goddess Parvati. She is often depicted as riding on a lion.
GOD_068,Goddess Meenakshi,Goddess Maduraidevi,Meenakshi is the goddess of the city of Madurai and is often depicted as riding on a lotus chariot.
GOD_069,Goddess Jwalamukhi,Goddess Ambika ,Jwalamukhi is a form of the goddess Durga and is often depicted as riding on a lion.
GOD_070,Goddess Subhadra,Goddess Ekanamsha,"Subhadra is the sister of Lord Krishna and Balarama and is often depicted as riding on Garuda, the eagle."
GOD_071,Goddess Bhavatarini,Goddess Kalika,Bhavatarini is a form of the goddess Kali and is often depicted as riding on a lion.
GOD_072,Lord Agni,Lord Pavaka,Agni is the god of fire and is often depicted as riding on a goat chariot.
GOD_073,Lord Kubera,Lord Dhaneshvara,"Kubera is the god of wealth and is often depicted as riding on Pushpak Vimana, the celestial chariot."
GOD_074,Lord Chandra,Lord Soma,Chandra is the god of the moon and is often depicted as riding on a silver chariot drawn by white horses.
GOD_075,Lord Dharma,Lord Yama,Dharma is the god of righteousness and is often depicted as riding on a bull chariot.
GOD_076,Lord Kama,Lord Madana,Kama is the god of love and is often depicted as riding on a flower chariot drawn by parrots.
GOD_077,Lord Kartikeya,Lord Murugan,Kartikeya is the god of war and is often depicted as riding on a peacock.
GOD_078,Lord Bharata,Lord Bharata Muni,Bharata is the brother of Lord Rama and is often depicted as riding on a chariot drawn by black horses.
GOD_079,Lord Shatrughna,Lord Ripudaman ,Shatrughna is the brother of Lord Rama and is often depicted as riding on a chariot drawn by white horses.
GOD_080,Goddess Adishakti,Goddess Adi Parashakti,Adishakti is the primordial form of the goddess Shakti and is often depicted as riding on a lion.
GOD_081,Lord Varaaha,Lord Yajna Varaha,Varaha is an avatar of Lord Vishnu and is often depicted as a boar.
GOD_082,Lord Soma,Lord Chandra,Soma is the god of the moon and is often depicted as riding on a moon chariot.
GOD_083,Lord Mitras,Lord Mitra-Varuna,Mitras is a solar deity and is often depicted as riding on a horse chariot.
GOD_084,Lord Usha,Lord Prabha,Usha is the goddess of the dawn and is often depicted as riding on a chariot drawn by red horses.
GOD_085,Soul,Atma,"The soul is often depicted as riding on a variety of vehicles, such as a chariot, a swan, or a peacock."
